source,target,time_fps
fly12,fly9,3858
fly12,fly4,3868
fly12,fly9,3908
fly6,fly12,3938
fly4,fly12,3940
fly4,fly9,3949
fly12,fly4,3950
fly8,fly12,3997
fly12,fly8,3997
fly6,fly9,4027
fly11,fly2,4040
fly8,fly6,4047
fly8,fly9,4052
fly7,fly5,4054
fly5,fly7,4077
fly9,fly6,4079
fly9,fly8,4082
fly11,fly2,4083
fly9,fly11,4102
fly11,fly8,4127
fly8,fly6,4142
fly7,fly5,4168
fly6,fly8,4174
fly9,fly2,4180
fly11,fly6,4185
fly7,fly5,4229
fly6,fly8,4230
fly5,fly7,4241
fly7,fly1,4283
fly8,fly6,4288
fly6,fly8,4303
fly11,fly2,4323
fly8,fly2,4331
fly9,fly6,4362
fly6,fly9,4363
fly1,fly7,4365
fly11,fly8,4371
fly6,fly9,4391
fly8,fly2,4398
fly7,fly1,4408
fly11,fly8,4414
fly11,fly2,4429
fly2,fly8,4437
fly6,fly12,4460
fly7,fly1,4460
fly2,fly4,4466
fly4,fly2,4488
fly4,fly9,4510
fly7,fly6,4516
fly6,fly7,4516
fly2,fly9,4523
fly5,fly11,4568
fly5,fly11,4596
fly5,fly11,4615
fly12,fly7,4643
fly7,fly12,4644
fly11,fly10,4650
fly4,fly8,4667
fly2,fly9,4679
fly7,fly11,4684
fly11,fly7,4692
fly11,fly7,4713
fly12,fly1,4735
fly11,fly1,4773
fly1,fly11,4777
fly5,fly4,4810
fly8,fly4,4849
fly4,fly8,4850
fly2,fly6,4885
fly9,fly6,4891
fly6,fly2,4894
fly11,fly12,4908
fly11,fly12,4942
fly10,fly6,4946
fly8,fly4,4968
fly4,fly8,4969
fly2,fly12,5014
fly12,fly2,5057
fly9,fly4,5072
fly4,fly9,5073
fly6,fly12,5096
fly8,fly1,5110
fly10,fly9,5115
fly9,fly10,5129
fly9,fly4,5165
fly11,fly5,5169
fly4,fly9,5172
fly11,fly5,5211
fly6,fly12,5214
fly11,fly5,5251
fly8,fly3,5350
fly11,fly8,5356
fly8,fly11,5357
fly12,fly5,5365
fly10,fly3,5373
fly3,fly10,5374
fly3,fly6,5471
fly6,fly3,5476
fly3,fly12,5482
fly10,fly4,5518
fly4,fly10,5518
fly12,fly6,5521
fly9,fly2,5531
fly1,fly10,5557
fly12,fly3,5568
